Place Name,Municipality,Incorporation Date,Government,County,Map,Pop Rank,2014 Estimate,2010 Census,Change,Pop Density,Land Area,Water Area,Total Area,INCITS,WGS84
Aguilar,Town of Aguilar,"January 10, 1894",statutory town,Las Animas County,map,197,495,538,−7.99%,1262 mi−2 487 km−2,0.3923 mi−2 1.0161 km−2,none,0.3923 mi−2 1.0161 km−2,0800760,37°24′13″N 104°39′18″W﻿ / ﻿37.403626°N 104.655036°W
Akron,Town of Akron,"September 22, 1887",statutory town,Washington County[8],map,121,"1,694","1,702",−0.47%,649 mi−2 251 km−2,2.6244 mi−2 6.7973 km−2,none,2.6244 mi−2 6.7973 km−2,0800925,40°09′52″N 103°13′14″W﻿ / ﻿40.164382°N 103.220685°W
Alamosa,City of Alamosa,"August 12, 1878",home rule municipality,Alamosa County[8],map,48,"9,531","8,780",+8.55%,1298 mi−2 501 km−2,7.3663 mi−2 19.0788 km−2,0.1244 mi−2 0.3222 km−2,7.4908 mi−2 19.4010 km−2,0801090,37°28′30″N 105°52′31″W﻿ / ﻿37.475041°N 105.875314°W
Alma,Town of Alma,"December 2, 1873",statutory town,Park County,map,221,275,270,+1.85%,742 mi−2 286 km−2,0.3600 mi−2 0.9325 km−2,0.0019 mi−2 0.0049 km−2,0.3619 mi−2 0.9374 km−2,0801530,39°17′09″N 106°03′59″W﻿ / ﻿39.285942°N 106.066319°W
Antonito,Town of Antonito,"December 29, 1889",statutory town,Conejos County,map,163,775,781,−0.77%,1927 mi−2 744 km−2,0.4033 mi−2 1.0446 km−2,none,0.4033 mi−2 1.0446 km−2,0802355,37°04′36″N 106°00′37″W﻿ / ﻿37.076605°N 106.010222°W
Arriba,Town of Arriba,"August 29, 1918",statutory town,Lincoln County,map,237,194,193,+0.52%,427 mi−2 165 km−2,0.4401 mi−2 1.1398 km−2,none,0.4401 mi−2 1.1398 km−2,0803235,39°17′03″N 103°16′26″W﻿ / ﻿39.284058°N 103.273902°W
Arvada,City of Arvada,"August 24, 1904",home rule municipality,Jefferson CountyAdams County,map,7,"113,574","106,433",+6.71%,2914 mi−2 1125 km−2,38.3316 mi−2 99.2785 km−2,0.6235 mi−2 1.6149 km−2,38.9551 mi−2 100.8933 km−2,0803455,39°50′01″N 105°09′01″W﻿ / ﻿39.833728°N 105.150306°W
Aspen,City of Aspen,"April 1, 1881",home rule municipality,Pitkin County[8],map,59,"6,805","6,658",+2.21%,1734 mi−2 670 km−2,3.8796 mi−2 10.0481 km−2,none,3.8796 mi−2 10.0481 km−2,0803620,39°11′42″N 106°50′13″W﻿ / ﻿39.194951°N 106.837002°W
Ault,Town of Ault,"April 11, 1904[9]",statutory town,Weld County,map,123,"1,603","1,519",+5.53%,1996 mi−2 771 km−2,0.7886 mi−2 2.0426 km−2,none,0.7886 mi−2 2.0426 km−2,0803950,40°35′00″N 104°44′02″W﻿ / ﻿40.583454°N 104.733962°W
Aurora,City of Aurora,"May 5, 1903[10]",home rule municipality,Arapahoe CountyAdams CountyDouglas County,map,3,"353,108","325,078",+8.62%,2248 mi−2 868 km−2,153.8290 mi−2 398.4152 km−2,0.6784 mi−2 1.7570 km−2,154.5074 mi−2 400.1722 km−2,0804000,39°41′17″N 104°41′23″W﻿ / ﻿39.688002°N 104.689740°W
Avon,Town of Avon,"February 24, 1978",home rule municipality,Eagle County,map,63,"6,447","6,447",0.00%,798 mi−2 308 km−2,8.0338 mi−2 20.8075 km−2,0.0720 mi−2 0.1866 km−2,8.1059 mi−2 20.9941 km−2,0804110,39°38′30″N 106°30′57″W﻿ / ﻿39.641797°N 106.515877°W
Basalt,Town of Basalt,"August 26, 1901",statutory town,Eagle CountyPitkin County,map,86,"3,919","3,857",+1.61%,1929 mi−2 745 km−2,1.9990 mi−2 5.1774 km−2,0.0078 mi−2 0.0203 km−2,2.0068 mi−2 5.1977 km−2,0804935,39°21′29″N 107°01′07″W﻿ / ﻿39.358174°N 107.018557°W
Bayfield,Town of Bayfield,"August 18, 1906",statutory town,La Plata County,map,102,"2,533","2,333",+8.57%,1729 mi−2 668 km−2,1.4415 mi−2 3.7335 km−2,none,1.4415 mi−2 3.7335 km−2,0805265,37°14′07″N 107°35′41″W﻿ / ﻿37.235248°N 107.594814°W
Bennett,Town of Bennett,"January 22, 1930",statutory town,Adams CountyArapahoe County,map,103,"2,443","2,308",+5.85%,416 mi−2 161 km−2,5.7934 mi−2 15.0049 km−2,0.0060 mi−2 0.0156 km−2,5.7994 mi−2 15.0205 km−2,0806090,39°44′46″N 104°26′34″W﻿ / ﻿39.745990°N 104.442841°W
Berthoud,Town of Berthoud,"August 28, 1888",statutory town,Larimer CountyWeld County,map,70,"5,807","5,105",+13.75%,448 mi−2 173 km−2,12.0289 mi−2 31.1547 km−2,0.1264 mi−2 0.3275 km−2,12.1553 mi−2 31.4822 km−2,0806255,40°17′05″N 104°57′56″W﻿ / ﻿40.284667°N 104.965504°W
Bethune,Town of Bethune,"June 10, 1926",statutory town,Kit Carson County,map,232,240,237,+1.27%,1438 mi−2 555 km−2,0.1620 mi−2 0.4196 km−2,none,0.1620 mi−2 0.4196 km−2,0806530,39°18′14″N 102°25′24″W﻿ / ﻿39.303822°N 102.423414°W
Black Hawk,City of Black Hawk,"June 12, 1886",home rule municipality,Gilpin County,map,250,126,118,+6.78%,62 mi−2 24 km−2,1.9449 mi−2 5.0372 km−2,none,1.9449 mi−2 5.0372 km−2,0807025,39°48′04″N 105°29′21″W﻿ / ﻿39.801069°N 105.489224°W
Blanca,Town of Blanca,"May 18, 1910",statutory town,Costilla County,map,211,372,385,−3.38%,208 mi−2 80 km−2,1.7857 mi−2 4.6250 km−2,none,1.7857 mi−2 4.6250 km−2,0807190,37°26′21″N 105°30′49″W﻿ / ﻿37.439281°N 105.513526°W
